timestamp,cash,position_quantity,position_mark_value,realized_equity,mtm_equity,unrealized_pnl,drawdown,drawdown_pct
2024-12-15 19:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 19:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 20:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
