investigation,regime,horizon,metric,n,mean,p05,p25,p50,p75,p95
05_momentum_persistence,ret12_negative,12h,mae,51474,0.014298163567188861,0.0006425630382006109,0.004124570077033124,0.009552633198647797,0.01900525142618012,0.043399137599326114
05_momentum_persistence,ret12_negative,12h,future_vol,51474,0.028644345614555245,0.008936270805375568,0.016703674308190117,0.023919222813953506,0.03552850891658024,0.062059688715797034
05_momentum_persistence,ret24_Q1,12h,forward_return,26282,0.001698491364008243,-0.030238942592288497,-0.008822477929853328,0.0016974831319460648,0.01170101762875686,0.03494309531562149
05_momentum_persistence,ret24_Q1,12h,mfe,26282,0.01564481561978988,0.0011976078255751643,0.0054704642982572604,0.0113422774148082,0.021125566497642134,0.0450441936077789
05_momentum_persistence,ret24_Q1,12h,mae,26282,0.01604784033373364,0.0007464650949966681,0.004942829769042673,0.01102225313786992,0.021202269306306976,0.0476406587683575
05_momentum_persistence,ret24_Q1,12h,future_vol,26282,0.03169265595352351,0.011597850733334658,0.018787837181981515,0.02697471694008154,0.03893453438289442,0.06675121361453559
05_momentum_persistence,ret24_Q2,12h,forward_return,26310,0.0009923432311110237,-0.026124415959754132,-0.006747687054109275,0.0008767666152209586,0.008525378974544029,0.028802077461244562
05_momentum_persistence,ret24_Q2,12h,mfe,26310,0.012544947264250414,0.0008146628307891924,0.0041275979357011106,0.008849091170862855,0.016398190024932535,0.037849414715004276
05_momentum_persistence,ret24_Q2,12h,mae,26310,0.012443330442099925,0.0005792470504731473,0.003504926047949386,0.008183267504479508,0.016570071882645726,0.03782881805293489
05_momentum_persistence,ret24_Q2,12h,future_vol,26310,0.02498827770635034,0.007640326284490593,0.014220052230739116,0.020961870383636443,0.031488792914094454,0.05469940787043173
05_momentum_persistence,ret24_Q3,12h,forward_return,26323,0.0012029818373564866,-0.026915254074911764,-0.006945831260410984,0.0007286577792497972,0.009173817219572555,0.032443567214598214
05_momentum_persistence,ret24_Q3,12h,mfe,26323,0.013324001980532942,0.0007568487591776974,0.004201206893121534,0.009402426448277712,0.017460162754056596,0.040522383818711066
05_momentum_persistence,ret24_Q3,12h,mae,26323,0.012684341389231812,0.0006563168226310534,0.0036290295726196797,0.008210237031947787,0.016484350556463523,0.03918746846618133
05_momentum_persistence,ret24_Q3,12h,future_vol,26323,0.026008343369764753,0.007856298162805484,0.014592796924432036,0.02168774713575991,0.03256004233358327,0.057127658503444034
05_momentum_persistence,ret24_Q4,12h,forward_return,26300,0.0011959234122807427,-0.03164697199491102,-0.009261236939557022,0.0006386600076948579,0.011750150994659758,0.03515963277976332
05_momentum_persistence,ret24_Q4,12h,mfe,26300,0.015945091678593672,0.000864095802582765,0.005276252435983009,0.011479586347036719,0.021919160411307204,0.046454775742206716
05_momentum_persistence,ret24_Q4,12h,mae,26300,0.015535897890962224,0.0010035184861177826,0.005032244390374779,0.010904173741120016,0.020589752267335087,0.0452215977922622
05_momentum_persistence,ret24_Q4,12h,future_vol,26300,0.031480989569555896,0.011603885841277714,0.01911140894285988,0.026718152554387566,0.03932085690372944,0.06672697641341563
05_momentum_persistence,ret24_positive,12h,forward_return,54656,0.00119297900986893,-0.02891337812889999,-0.00799059956956183,0.0007042989081708084,0.010237885288046145,0.033657742412873615
05_momentum_persistence,ret24_positive,12h,mfe,54656,0.014539383657267419,0.0007960168493702513,0.004652959196545903,0.010327588394872578,0.019713513354175705,0.043282855383315555
05_momentum_persistence,ret24_positive,12h,mae,54656,0.014023702065822301,0.000787276661544517,0.004200349184171753,0.009487471100734113,0.018452345521750596,0.041978330439120165
05_momentum_persistence,ret24_positive,12h,future_vol,54656,0.02856308572308972,0.008847940446415337,0.01681503481664611,0.024112952689463327,0.035798973826423885,0.06176118999355695
05_momentum_persistence,ret24_negative,12h,forward_return,50534,0.0013548824728894886,-0.028245254390372492,-0.007840217218151369,0.00122054531873661,0.010034213360904487,0.032432911318198365
05_momentum_persistence,ret24_negative,12h,mfe,50534,0.014172854000741105,0.0009861816758020558,0.004794980035846108,0.010129447381404866,0.01863829310023024,0.04175011917216156
05_momentum_persistence,ret24_negative,12h,mae,50534,0.01434461484230155,0.0006535859067651363,0.00416155508737906,0.009615701504595231,0.019191122857237952,0.043109271332500504
05_momentum_persistence,ret24_negative,12h,future_vol,50534,0.028517468843042657,0.008930971920391382,0.01664136645181844,0.023886194997227418,0.03517043465555081,0.061680901241321626
