ending_cash,ending_realized_equity,ending_mtm_equity,total_net_pnl,signals,filled_trades,closed_trades,open_end_of_data,ignored_position_open,tp_count,sl_count,win_rate,average_R,profit_factor,max_drawdown,max_drawdown_pct,entry_slippage_last,sample_id
0.0,1.3965920238048675,1.3923697169549614,-18.603407976195133,8932.0,979.0,978.0,1.0,7953.0,322.0,656.0,0.3292433537832311,-0.2622015398772945,0.7198082889532379,20.967494810698806,0.9384206380380871,0.000697249788594639,57
-2.220446049250313e-16,1.6525308745572005,1.65357749569746,-18.3474691254428,8795.0,987.0,986.0,1.0,7808.0,331.0,655.0,0.3356997971602434,-0.24286125405678924,0.710737812881463,19.476268415648484,0.9239469180842544,0.0008250274835393688,58
-2.220446049250313e-16,1.7107176815669547,1.6982651087294505,-18.289282318433045,8853.0,989.0,988.0,1.0,7864.0,333.0,655.0,0.33704453441295545,-0.23883309159918406,0.7332884884517663,19.39458234233006,0.9197677457839567,0.0008540772977980105,59
-2.220446049250313e-16,1.4735112580917153,1.4690564018614591,-18.526488741908285,8632.0,989.0,988.0,1.0,7643.0,328.0,660.0,0.3319838056680162,-0.25399251214574314,0.7207322731362282,19.624489774249657,0.9308773390576756,0.0007356517835446692,60
-2.220446049250313e-16,1.3536996343768486,1.3429356817347307,-18.64630036562315,8866.0,991.0,990.0,1.0,7875.0,326.0,664.0,0.3292929292929293,-0.2620530363636299,0.7255307336731351,19.476340075185313,0.9361587763214797,0.0006758357256820112,61
0.0,1.454602644055683,1.4447686768814765,-18.545397355944317,8713.0,971.0,970.0,1.0,7742.0,320.0,650.0,0.32989690721649484,-0.2602438195876226,0.7074805967996034,19.84542525863797,0.9334944985596693,0.0007262116414597921,62
0.0,1.1398664481593457,1.1339594913051319,-18.860133551840654,8642.0,1038.0,1037.0,1.0,7604.0,340.0,697.0,0.32786885245901637,-0.2663188606557316,0.7177479926376971,20.10192590693041,0.9478671864340152,0.00056907932055916,63
0.0,1.4315689173709316,1.4217215554773432,-18.56843108262907,8655.0,958.0,957.0,1.0,7697.0,314.0,643.0,0.3281086729362591,-0.26560047805642034,0.7076957565722574,19.604928386865296,0.9331056496199671,0.0007147120332794305,64
0.0,1.650316772995847,1.6453273818949532,-18.349683227004153,8787.0,999.0,998.0,1.0,7788.0,336.0,662.0,0.3366733466933868,-0.23994498496993374,0.7212909809352662,19.45946680503867,0.9223165812544257,0.0008239220913997624,65
0.0,1.2679577817627425,1.2641243739127435,-18.732042218237257,8892.0,1020.0,1019.0,1.0,7872.0,336.0,683.0,0.3297350343473994,-0.26072871000980785,0.7048157025316497,19.666509069939874,0.940186389672399,0.0006330290308206276,66
0.0,1.563597340914864,1.5548414722871513,-18.436402659085136,8723.0,970.0,969.0,1.0,7753.0,322.0,647.0,0.3323013415892673,-0.2530413328173316,0.7024831386798217,19.70230364229194,0.927377218491023,0.0007806273391350734,67
-2.220446049250313e-16,1.4061530386859857,1.3987869145644192,-18.593846961314014,8689.0,1007.0,1006.0,1.0,7682.0,334.0,672.0,0.3320079522862823,-0.2539201809145067,0.72723913854924,20.159652545793215,0.936434064198378,0.0007020231336308753,68
0.0,1.1340486768068025,1.1284009786986688,-18.865951323193197,8809.0,1017.0,1016.0,1.0,7792.0,331.0,685.0,0.3257874015748031,-0.2725538499015687,0.6876441286889209,20.361515179491747,0.9483532845573452,0.000566174793126244,69
0.0,1.1282605988131884,1.124849536474574,-18.87173940118681,8859.0,996.0,995.0,1.0,7863.0,322.0,673.0,0.3236180904522613,-0.2790520246231097,0.694151907814498,19.65680066510105,0.9464663458007413,0.0005632850901288628,70
-2.220446049250313e-16,1.5452235057467973,1.5366689793831319,-18.454776494253203,8712.0,1009.0,1008.0,1.0,7703.0,338.0,670.0,0.3353174603174603,-0.24400654464285126,0.7246854889950655,19.980245996624273,0.9286954243327206,0.0007714541858675169,71
0.0,1.2835030355214805,1.2843159349542408,-18.71649696447852,8789.0,1000.0,999.0,1.0,7789.0,328.0,671.0,0.3283283283283283,-0.2649424999999932,0.7021253741826051,20.726259857521093,0.9427036241667874,0.0006407900123470678,72
-2.220446049250313e-16,1.4966735416605168,1.488541786928143,-18.503326458339483,8851.0,983.0,982.0,1.0,7868.0,326.0,656.0,0.3319755600814664,-0.2540172118126217,0.7262232978724618,19.617454279509758,0.9303372138776765,0.0007472155738616974,73
