rank,group,strategy_id,family,timeframe,robustness_score,dev_net_pnl,val_net_pnl,dev_avg_R,val_avg_R,val_profit_factor,val_max_drawdown_pct,dev_closed_trades,val_closed_trades,val_dev_avg_R_ratio,val_dev_pf_ratio,flags,gate_failures,beat_BASELINE_A,beat_RANDOM
63,GROUP 3,F01,RANGE / MARKET STRUCTURE,5m,,-8.688310619500319,-4.405587836349452,-0.20169532899627715,-0.17543503731342677,0.7807448842587805,0.251274464325437,269,134,0.8698021822640469,1.056606314699853,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
64,GROUP 3,F02,RANGE / MARKET STRUCTURE,15m,,-10.543343636976862,-4.83840856213492,-0.2685094888475779,-0.1862159255319089,0.7570900119055403,0.27221050536573865,269,141,0.6935171130492757,1.0817661522271258,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
65,GROUP 3,F02,RANGE / MARKET STRUCTURE,1h,,-2.9797986910810277,-3.570704099266971,-0.13900549999999465,-0.27931766176470135,0.6651922641023983,0.18937241054173506,108,68,2.009400072405136,0.8110687670943938,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
66,GROUP 3,F02,RANGE / MARKET STRUCTURE,5m,,-12.387262664152983,-6.055944227469866,-0.21503739510488964,-0.1700699599999945,0.787719473876452,0.3185630729566268,429,200,0.790885510480811,1.0295528490862864,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
67,GROUP 3,F03,RANGE / MARKET STRUCTURE,15m,,-13.149633588114794,-6.378382629330048,-0.24754975841345628,-0.17350977033492307,0.7862148191390177,0.35768210267175254,416,209,0.7009086635630158,1.1071587866064883,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
68,GROUP 3,F03,RANGE / MARKET STRUCTURE,1h,,-10.4982982835339,-4.693624654298745,-0.2646880147601418,-0.1742016862068916,0.7791028927033096,0.24528815637046625,271,145,0.6581396832975297,1.1344219876256847,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
69,GROUP 3,F03,RANGE / MARKET STRUCTURE,5m,,-15.267919241601065,-8.29856151575991,-0.25546657734806094,-0.21995213090128168,0.7285946389711964,0.42093621714412066,543,233,0.8609820242810372,1.0192216189771734,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
70,GROUP 3,F04,RANGE / MARKET STRUCTURE,15m,,-13.858891759714993,-6.018503820286335,-0.3093202999999948,-0.1932170170454489,0.757633562475114,0.3288576545169378,370,176,0.6246502962962734,1.1616423655356458,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
71,GROUP 3,F04,RANGE / MARKET STRUCTURE,1h,,-7.916012184196452,-5.522645448438935,-0.25520526578946773,-0.28659222018348113,0.6646538545247169,0.29192208479346915,190,109,1.1229870954931869,0.9595203172710183,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
72,GROUP 3,F04,RANGE / MARKET STRUCTURE,5m,,-14.146773849703408,-6.819233302118178,-0.2417655696721257,-0.18462753738317142,0.7700723013180099,0.34772937230786116,488,214,0.7636634845629883,1.0458717820249148,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,True
